System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
K2-093b,nan,nan,7.72,nan,15.57,-1.00
K2-033,nan,nan,10.03,nan,5.42,0.00
K2-025b,nan,nan,10.44,nan,3.48,0.00
K2-019d,nan,nan,11.16,nan,2.51,0.00
K2-010b,nan,nan,10.64,nan,19.30,0.09
Kepler-446d,nan,nan,12.83,nan,5.15,-1.00
Kepler-446c,nan,nan,12.83,nan,3.04,-1.00
Kepler-446b,nan,nan,12.83,nan,1.56,-1.00
Kepler-445d,nan,nan,12.61,nan,8.15,-1.00
Kepler-113c,nan,nan,11.26,nan,8.93,0.00
Kepler-445c,nan,nan,12.61,nan,4.87,-1.00
K2-002,nan,nan,8.03,nan,9.12,0.04
Kepler-445b,nan,nan,12.61,nan,2.98,-1.00
Kepler-019b,nan,nan,10.32,nan,9.29,0.03
Kepler-042b,nan,nan,11.46,nan,1.21,0.00
Kepler-042c,nan,nan,11.46,nan,0.45,0.00
Kepler-103c,nan,nan,10.87,nan,179.61,0.00
